,상호,계,업종,주소,거리
176,홍박사생고기,17,일반음식점,"경기 성남시 분당구 양현로 447 (야탑동,1층, 지하1층)",
177,카레뜰에,17,일반음식점,"경기 성남시 분당구 판교역로 231, 116호 (삼평동,에이치스퀘어에스동 지하1층)",
178,제너시스비비큐판교테크노밸리점주,17,치킨전문점,"경기 성남시 분당구 판교역로 231, S동 121호 (삼평동,에이치스퀘어)",
179,유나인유스페이스점,17,일반음식점 기타,경기 성남시 분당구 삼평동 670번지 유스페이스1 지하B107호,
180,봉추찜닭 판교테크노밸리점,17,일반음식점,"경기 성남시 분당구 대왕판교로 670, 210호 (삼평동,유스페이스몰2)",
181,맥주콜（판교점）,17,일반음식점기타,"경기 성남시 분당구 삼평동(대왕판교로 660) 유스페이스1제2층209-2호, ",
182,곱창고,17,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 104호 일부 유스페이스1 (삼평동)",
183,유치회관(주)유치푸드,16,일반음식점,"경기 성남시 분당구 대왕판교로 140, 1층 (금곡동)",
184,속초 코다리,16,일반음식점,"경기 성남시 분당구 대왕판교로 670, 2층 220호 (삼평동,유스페이스2)",
185,가르텐,16,일반음식점,"경기 성남시 분당구 대왕판교로 660, 유스페이스1동지하1층B126호 (삼평동)",
186,(주)판교해우리,16,일반음식점,"경기 성남시 분당구 판교역로 145, 지하1층122,138,139,140,141,142호 (백현동,알파리움타워)",
187,후쿠오카모츠나베 판교점,15,일식/생선회집,"경기 성남시 분당구 대왕판교로 660, 204호 (삼평동,유스페이스1)",
188,차이나오라,15,중식전문점,"경기 성남시 분당구 대왕판교로 660, 2층 (삼평동,유스페이스 1동 234호,235호)",
189,붓처스컷 아브뉴프랑판교점,15,서양식전문점,"경기 성남시 분당구 동판교로177번길 25, 2층 232,233호 (삼평동,판교호반써밋플레이스)",
190,부스&더 치즈케익,15,일반음식점,"경기 성남시 중원구 성남대로 1150, 1층 (성남동,대원빌딩)",
191,맥도날드동판교점,15,패스트푸드점,"경기 성남시 분당구 삼평동 741번지 푸르지오월드마크1-17,18,19,30,31호2-9,10호",
192,달빛어시장,15,일식전문점,"경기 성남시 분당구 대왕판교로 660, 2층 210호 (삼평동,유스페이스1)",
193,네코부루본점엠비즈(주),15,일반음식점,"경기 성남시 분당구 판교로319번길13 (삼평동,,디데라스 1층 112호) ",
194,(주)감성타코 판교점,15,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 2층 231,232호 (삼평동,판교호반써밋플레이스)",
195,한우랑돼지랑,14,일반음식점,"경기 성남시 수정구 사송로 48, 지층1층 (사송동)",
196,푸주옥설렁탕,14,일반음식점,"경기 성남시 수정구 대왕판교로 897, 1층 (시흥동)",
197,청계산담백미,14,일반음식점,"경기 성남시 수정구 달래내로 22, 1층 2층 (금토동)",
198,아이스걸크림보이판교점,14,아이스크림전문점,"경기 성남시 분당구 대왕판교로 660, 2층 228호 (삼평동,유스페이스1)",
199,스시가좋아서,14,일식전문점,"경기 성남시 분당구 판교로 372, 2층 202호 (삼평동,스타식스코아1)",
200,빨간뻘낙지,14,한식,"경기 성남시 분당구 안골로 28-2, 1층 (서현동)",
201,빅사이즈(BIGSIZE),14,일반음식점,"경기 성남시 분당구 판교로319번길 13, 108호 (삼평동,디테라스1층)",
202,밥볶다(동판교점),14,일반음식점,"경기 성남시 분당구 판교역로240, 지하1층 B115, B115-1호 (삼평동,삼 ",
203,더라운지,14,일반음식점,"경기 성남시 분당구 서판교로 162, 랜드리스타워1층101,102,103,104,105,106호 (판교동)",
204,꼬꼬와톡,14,일반음식점,"경기 성남시 분당구 판교역로 240, A동 1층 123호 (삼평동,삼환하이펙스)",
205,군산오징어판교테크노밸리점,14,일반음식점,"경기 성남시 분당구 대왕판교로 660, A동 310호 (삼평동,유스페이스)",
206,클준빛날영,13,일식전문점,"경기 성남시 분당구 판교역로 240, 지층 B126호 (삼평동,삼환하이펙스A동)",
207,짜야,13,중식전문점,경기 성남시 분당구 대왕판교로 393 (백현동),
208,진차이객잔,13,중식전문점,"경기 성남시 분당구 대왕판교로 660, 유스페이스몰 지하1층B128-4호 (삼평동)",
209,주식회사놀멍쉬멍,13,일반음식점,"경기 성남시 분당구 대왕판교로660, B동 501호 (삼평동,유스페이스1) ",
210,죠샌드위치판교테크노밸리점,13,서양식전문점,"경기 성남시 분당구 판교역로 231, B117,호 (삼평동,에이치스퀘어 에스동)",
211,인생극장쪽갈비,13,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 211호 (삼평동,유스페이스1)",
212,야미가,13,일반음식점,경기 성남시 분당구 매화로56번길 12 (야탑동),
213,스시가오,13,일반음식점 기타,"경기 성남시 분당구 대왕판교로 660, 유스페이스1 지하층 B121호 (삼평동)",
214,본설판교테크노밸리점,13,일반음식점,"경기 성남시 분당구 판교역로 231, 1층 131호 (삼평동,에이치스퀘어 에스동)",
215,디바인,13,일반음식점 기타,"경기 성남시 분당구 돌마로 87, 110,111호 (금곡동,골드프라자)",
216,김인성의토평한우소곱창,13,한식,"경기 성남시 분당구 대왕판교로 660, 1층 121호 (삼평동,유스페이스1)",
217,고씨네대파차돌등심,13,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 217,218,219호 (삼평동,유스페이스1)",
218,(주)신화푸드 돈블랑 판교점,13,한식,"경기 성남시 분당구 대왕판교로606번길 10, 1층 118, 119호 (백현동)",
219,정원오리부추구이,12,일반음식점,"경기 성남시 분당구 대왕판교로 670, 222호 (삼평동,유스페이스)",
220,원스팀드조개찜,12,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 149호,150호 (삼평동,유스페이스1)",
221,오징어청춘,12,일식,"경기 성남시 분당구 삼평동 662  판교타워 116,117호 111,112호",
222,심야식당쿤,12,일식전문점,"경기 성남시 분당구 정자일로 121, A동1층 01,02호 (정자동,더샵스타파크 상가동)",
223,빈티지일구팔팔,12,양식,"경기 성남시 분당구 판교역로 231, 101호 (삼평동,에이치스퀘어 에스동)",
224,라무진,12,한식,"경기 성남시 분당구 대왕판교로 660, 2층 236호 (삼평동,유스페이스1)",
225,더피크닉,12,일반음식점,"경기 성남시 분당구 대왕판교로 660 (삼평동,유스페이스1,130호)",
226,대관령,12,한식,"경기 성남시 분당구 대왕판교로 660, 에이동 B110.B111호 (삼평동)",
227,낭사이공,12,일반음식점,"경기 성남시 분당구 판교역로 231, 지1층 B133호 (삼평동,에이치스퀘어 에스동)",
228,오발탄서현점,12,일반음식점,"경기 성남시 분당구 황새울로319번길 6 (서현동,정가빌딩 1층, 2층)",
229,후루룩손칼국수,11,한식,"경기 성남시 분당구 대왕판교로 670, 지1층 B103호(상평동,유스페이스2)",
230,판교인생곱창,11,일반음식점,"경기 성남시 분당구 판교역로192번길 16, 1층 102호,103호 (삼평동,판교타워)",
231,차알,11,중식전문점,"경기 성남시 분당구 판교역로 145 (백현동,알파리움타워2동, 2층 204호,205호)",
232,영심이 정자엠코점,11,일반음식점,"경기 성남시 분당구 정자일로 146, 129호 (정자역 엠코해리츠1단지1층,) (정자동)",
233,양바위정자본점,11,일반음식점,"경기 성남시 분당구 정자일로156번길 6 (정자동,뉴본타워1층 104,105,106,107호)",
234,애비로드,11,일반음식점 기타,"경기 성남시 분당구 대왕판교로 660, 115호 (삼평동,유스페이스1)",
235,셀렉토(서현우성점),11,일반음식점,"경기 성남시 분당구 돌마로 481, 1층 113-1호 (서현동,분당우성프라자)",
236,본도시락 판교테크노밸리점,11,일반음식점,"경기 성남시 분당구 판교역로 230, 삼환하이펙스 비동 지1층 B-102,102-1호 (삼평동)",
237,미카도,11,일식/생선회집,"경기 성남시 분당구 성남대로343번길 10-6, 2층 (정자동)",
238,림꼬또,11,일식/생선회집,"경기 성남시 분당구 판교역로 240, 삼환하이펙스A동 지하1층 B124호 (삼평동)",
239,꼬기식당,11,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 213호 (삼평동,유스페이스1)",
240,판돈,10,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 213호 (삼평동,유스페이스1)",
241,판교족발,10,일반음식점,"경기 성남시 분당구 판교역로 231, 1층 125호 (삼평동,에이치스퀘어 에스동)",
242,파리크라상키친 판교점,10,서양식전문점,"경기 성남시 분당구 대왕판교로606번길 58, 1층 9,10,11,12,36,37,38,39,40,41호 (삼평동, 판교푸르지오",
243,카페뚜띠함께하는사회적협동조합,10,식음료(기타),"경기 성남시 중원구 금상로 137, 지하1층 일부 (상대원동)",
244,카페194,10,서양식전문점,"경기 성남시 분당구 대왕판교로 670, 1층 112호 (삼평동,유스페이스2)",
245,청담이상판교점,10,일식/생선회집,"경기 성남시 분당구 판교역로192번길 22, 203(판교역로192번길 12,삼평동,미래에셋센터2층)",
246,조랭이부대찌개,10,일반음식점,"경기 성남시 분당구 판교역로 231, 비1층,102호 (삼평동,에이치스퀘어 에스동)",
247,아부,10,일반음식점,"경기 성남시 분당구 대왕판교로 670, 지하1층 112호 (삼평동,유스페이스2)",
248,써든스테이크 판교점,10,서양식전문점,"경기 성남시 분당구 대왕판교로 660, 지하1층 B123호 (삼평동,유스페이스1)",
249,솔밭삼겹살,10,일반음식점,"경기 성남시 분당구 황새울로 315, 1층 (서현동,대현빌딩)",
250,삼대곱창,10,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 202호 (삼평동,유스페이스1)",
251,밥볶다동판교점,10,일반한식,"경기 성남시 분당구 판교역로 240, A동 지하1층 B115,B115-1호 (삼평동, 삼환하이펙스A동)",
252,미스터보쌈앤스탠딩스테이크분당정,10,일반음식점,"경기 성남시 분당구 황새울로12번길 11-2, 1층 (정자동)",
253,맥주냉장고,10,일반주점,"경기 성남시 분당구 판교역로 231, S동 1층 131호 (삼평동,에이치스퀘어)",
254,마시모(Massimo),10,서양식전문점,"경기 성남시 분당구 대왕판교로 670, 2층 209호 (삼평동,유스페이스2)",
255,도미노피자(판교점),10,패스트푸드점,"경기 성남시 분당구 서판교로 160, 106호~108호 (판교동,스타식스벨리)",
256,더 밸류 라운지,10,일반주점,"경기 성남시 분당구 대왕판교로 670 (삼평동,유스페이스2동3층310호)",
257,나나양꼬치,10,중식전문점,"경기 성남시 분당구 대왕판교로 670, 2층 213호 (삼평동,유스페이스2)",
258,행복가,9,일반음식점,"경기 성남시 분당구 운중로146번길 19-4, 1층 전체 (운중동)",
259,하누비노,9,일반음식점,"경기 성남시 분당구 정자일로 136, 1층 101,102호 (정자동,정자역 엠코헤리츠3단지)",
260,포크포크,9,일반음식점,"경기 성남시 분당구 대왕판교로 670, 유스페이스2지하1층B104호 (삼평동)",
261,통통! 낙지마을,9,일반음식점,경기 성남시 분당구 판교역로 230 (삼평동),
262,코벤트가든,9,서양식전문점,"경기 성남시 분당구 대왕판교로 660, 유스페이스1지하1층108호 (삼평동)",
263,청여수,9,일반음식점,"경기 성남시 분당구 판교역로 230, B동 B112호 (삼평동,삼환하이펙스)",
264,어선,9,일식전문점,경기 성남시 분당구 효자길 11 (서현동),
265,스시혼,9,일식전문점,"경기 성남시 분당구 분당내곡로 150,2층202호(삼평동,판교호반써밋플레이스)",
266,소메랑판교점,9,일반음식점,"경기 성남시 분당구 판교역로 230, B동 제지1층 제비111호 (삼평동,삼환하이펙스)",
267,삼성웰스토리(주)분당서울대병원,9,일반음식점,"경기 성남시 분당구 구미로173번길 82, 지하1층 일부 (구미동,분당서울대학교병원)",
268,봄날에청국장,9,한식,"경기 성남시 분당구 정자일로 210, 102동 102호  지하 (정자동,동양정자파라곤)",
269,벗얼라이브(butalive),9,일반음식점,"경기 성남시 분당구 판교역로 235, 엔,동 1층 107호 (삼평동,에이치스퀘어)",
270,만족오향족발,9,일반음식점,"경기 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움 타워1동 2층 209호, 210호, 211호)",
271,동청담,9,중식,"경기 성남시 분당구 대왕판교로606번길 45, 2층 206호 (삼평동,판교역푸르지오시티)",
272,데블스램앤펍 판교점,9,한식,"경기 성남시 분당구 대왕판교로 660, 107호108호 (삼평동)",
273,논현동부자떡볶이,9,일반음식점,"경기 성남시 분당구 판교역로 240, A동 지하1층 비-120-1호 (삼평동,삼환하이펙스)",
274,나따오비까,9,휴게음식점,"경기 성남시 분당구 대왕판교로 670, 130호 (삼평동,유스페이스2)",
275,김치도가판교테크노밸리점,9,한식,"경기 성남시 분당구 판교역로 231-0,지하1층 B133호 (삼평동) ",
276,강된장114,9,일반음식점,"경기 성남시 분당구 판교역로 240, 비-114호,삼환하이펙스A동 (삼평동)",
277,칼디커피더팜판교,8,일반음식점,"경기 성남시 분당구 판교역로 230, B동 1층 106호 (삼평동,삼환하이펙스)",
278,최고집손짬뽕,8,중식,"경기 성남시 분당구 판교역로10번길 12-9, 1층 (백현동)",
279,전주장작불곰탕,8,일반음식점,"경기 성남시 분당구 하오개로 345, 1층 (운중동)",
280,자연산산꼼장어,8,일반음식점,"경기 성남시 분당구 판교역로192번길 22, 1층 108,109호 (삼평동,판교 효성 해링턴 타워)",
281,을지로골뱅이호프,8,일반주점,"경기 성남시 분당구 판교역로 240, A동 1층 124호 (삼평동,삼환하이펙스)",
282,육덕등심정자점(주)나비잠,8,일반음식점,"경기 성남시 분당구 정자일로 135 (정자동,정자동3차 푸르지오시티 D동 2층 206호,206-1호)",
283,연안식당판교역점,8,일반음식점,"경기 성남시 분당구 판교역로 152, 2층 2,3호 (백현동,판교알파돔시티)",
284,소바니우동,8,일식/생선회집,"경기 성남시 분당구 대왕판교로 660, B122(삼평동 유스페이스1지1층)",
285,서현궁,8,한식,경기 성남시 분당구 서현동 195-2,
286,미감만족정원,8,일반음식점,"경기 성남시 분당구 대왕판교로 670, B동 212호 (삼평동,유스페이스2)",
287,맛있는초밥집,8,일식/생선회집,"경기 성남시 분당구 성남대로331번길 13, 1동 112호 (정자동)",
288,마리웨일신흥사거리점,8,일반음식점,"경기 성남시 중원구 산성대로 246, 1층 (중앙동)",
289,림꼬또(LimCotto),8,일식전문점,"경기 성남시 분당구 내정로173번길 11, 지하1층 B08호 (수내동,주상복합상가 603)",
290,뚝심한우분당점,8,일반음식점,"경기 성남시 분당구 대왕판교로 102,외5필지 1층(금곡동)",
291,더밸류라운지,8,일반주점,"경기 성남시 분당구 대왕판교로 670-0,310(삼평동,유스페이스2동3층) ",
292,닭갈비야,8,한식,"경기 성남시 분당구 판교역로 230, (삼평동,상환하이펙스B동208-2,208-3호)",
293,달구벌뭉티기,8,일반음식점,"경기 성남시 분당구 황새울로319번길 6, 201호~207호 (서현동,텍스타워)",
294,고구려판교점(주)덕용푸드시,8,일반음식점,"경기 성남시 분당구 대왕판교로606번길 58, 2층 2-42~46호 (삼평동,판교푸르지오월드마크)",
295,(주)크래버대게나라,8,일반음식점,"경기 성남시 분당구 판교역로 178,13층1302호(삼평동,서건타워)",
296,(주)청부인,8,일식전문점,"경기 성남시 분당구 대왕판교로606번길 31, 1층 103호 (삼평동)",
297,(주)상원푸드,8,한식,경기 성남시 수정구 시흥동 37,
298,(주) 내추럴푸드,8,일반음식점,"경기 성남시 분당구 대왕판교로 660, B동 127호 (삼평동,유스페이스1)",
299,훠궈야판교아브뉴프랑점,7,중식전문점,"경기 성남시 분당구 동판교로177번길 25, 2층 223호,224호,225호 (삼평동,판교호반써밋플레이스)",
300,화종반,7,일반음식점,"경기 성남시 분당구 판교역로 231, 지1층,101호 (삼평동,에이치스퀘어 에스동)",
301,하누마루판교본점(주)제니스,7,일반음식점,"경기 성남시 분당구 분당내곡로117, 크래프톤타워, ,2층일부호 (백현동 ",
302,판교도마집,7,일반음식점,"경기 성남시 분당구 판교역로192번길 14-1, 1층 (삼평동,판교예미지)",
303,주식회사닥터브레인,7,기타식음료품,"경기 성남시 분당구 구미로173번길47, 162호 (구미동,서울시니어스분당 ",
304,올라7,7,일반음식점 기타,"경기 성남시 분당구 분당내곡로 150, 115판교플레이스 (삼평동)",
305,엠비즈 주식회사 도담,7,일반음식점 기타,"경기 성남시 분당구 판교로319번길 13, 1층102호일부,103호 (삼평동)",
306,아끼화로판교점,7,한식,"경기 성남시 분당구 판교역로241번길 22, 1층 104,105,106호 (삼평동,엠타워)",
307,스팅거파트너스 주식회사,7,일반음식점 기타,"경기 성남시 분당구 대왕판교로 660, 3층 324호 (삼평동,유스페이스1)",
308,스시고산,7,일식전문점,"경기 성남시 분당구 백현로101번길 16, 2층 206호 (수내동,대덕프라자)",
309,송도이동갈비천지연판교점,7,일반음식점,"경기 성남시 분당구 판교로227번길 6, 1층 124~132호 (삼평동,판교테크노밸리브릿타워)",
310,분당구상록면,7,일식전문점,"경기 성남시 분당구 대왕판교로 660 (삼평동,유스페이스1,지하1층B109호)",
311,별찬가,7,휴게음식점,"경기 성남시 분당구 성남대로 381, 1층 113호 (정자동,폴라리스빌딩)",
312,미방(판교점),7,일반음식점,"경기 성남시 분당구 대왕판교로 670, 1층 128호 (삼평동,유스페이스2)",
313,모비딕,7,일반음식점,"경기 성남시 분당구 대왕판교로606번길 45, 1층 114호 (삼평동,판교역푸르지오시티)",
314,메양꼬치,7,일반음식점 기타,"경기 성남시 분당구 판교역로 230, (삼평동,삼환하이펙스비동제지층제비-106호)",
315,느티울공원갈비,7,한식,"경기 성남시 중원구 성남대로1048번길 39-0,1,2층 (여수동) ",
316,나고야,7,일식전문점,"경기 성남시 수정구 대왕판교로 846, 1층 (시흥동)",
317,긴자,7,일식전문점,경기 성남시 분당구 새마을로 75 (서현동),
318,굽네치킨동판교점,7,치킨전문점,"경기 성남시 분당구 대왕판교로644번길 65, 103호 (삼평동,가상가동)",
319,(주)에덴낙원,7,호텔(특급외),경기 성남시 분당구 불정로 128 (정자동),
320,홍루이젠서현점,6,휴게음식점,"경기 성남시 분당구 서현로210번길 1-0,1층 102호 (서현동,보람코아) ",
321,홀썸치킨,6,치킨전문점,"경기 성남시 분당구 대왕판교로606번길 58, 1층1-66호,1-67호 (삼평동,판교푸르지오월드마크)",
322,할매순대국,6,일반음식점,"경기 성남시 분당구 돌마로366번길 42, 1층 (수내동,동한프라자)",
323,한우나리,6,일반음식점,"경기 성남시 분당구 판교로 182-7, 지하1층 (판교동)",
324,하누비노서현점,6,한식,"경기 성남시 분당구 황새울로 314, 1층 (서현동,유니퀘스트사옥)",
325,청오디피케이(주)판교점,6,패스트푸드점,"경기 성남시 분당구 서판교로 160, 106호,107호,108호 (판교동,스타식스밸리)",
326,진궁,6,중식전문점,"경기 성남시 분당구 성남대로916번길 5, 2층 201호 일부 (야탑동,관보골든쇼핑스포츠빌딩)",
327,일미식당,6,일반음식점,경기 성남시 수정구 수정로180번길 5 (신흥동),
328,원조닭한마리칼국수전문,6,일반음식점,"경기 성남시 분당구 판교역로240, 삼환하이펙스A동 지하1층B108호 (삼 ",
329,연경,6,중식,"경기 성남시 분당구 서현로 170, 2층 225호 (서현동,풍림아이원플러스)",
330,여수바다장어구이,6,일반음식점,"경기 성남시 분당구 궁내로7번길 15, 지하1층 전부,1층전부,2층전부 (궁내동)",
331,에머이판교점,6,일반음식점,"경기 성남시 분당구 대왕판교로606번길 31, 105, 106, 107호 (삼평동)",
332,신도세기판교역점(주)다얼팜에프,6,일반음식점,"경기 성남시 분당구 판교역로 152, 2(일부)층 (백현동,알파돔타워)",
333,스시엔스시한조,6,일식/생선회집,"경기 성남시 분당구 황새울로335번길 5, (서현동,A동104,105,106,107,108호)",
334,스시료코,6,일식전문점,"경기 성남시 분당구 수내로 38, 1층 101호 (수내동,두산위브센티움1)",
335,스모크가든,6,일반음식점,"경기 성남시 수정구 달래내로377번길 31, 1,2층 (상적동)",
336,소데스네판교점(주)13마일,6,서양식전문점,"경기 성남시 분당구 판교로319번길13, 1층 111호 (삼평동) ",
337,센트럴차이나,6,중식전문점,"경기 성남시 분당구 판교역로192번길 14-1, 2층 전체 (삼평동,판교예미지)",
338,사쿠라테이엔,6,일반음식점,"경기 성남시 분당구 대왕판교로606번길 45, 1층 105호 (삼평동,판교역푸르지오시티)",
339,빕스판교점,6,서양식전문점,"경기 성남시 분당구 삼평동 740판교호반써밋플레이스2층201호,244호,245호,246호,247호",
340,빅사이즈,6,패스트푸드점,"경기 성남시 분당구 삼평동 691 (경기 성남시 분당구 판교로319번길 13 108(삼평동,디테라스))",
341,비에이치씨판교점,6,치킨전문점,"경기 성남시 분당구 대왕판교로606번길 45, 1층 103호 (삼평동,판교역푸르지오시티)",
342,블루샹하이,6,중식전문점,"경기 성남시 분당구 정자일로 197, 206,207,208,209호 (정자동)",
343,블루밍가든아브뉴프랑판교점,6,서양식전문점,"경기 성남시 분당구 동판교로177번길 25, 1층 135호 (삼평동,판교호반써밋플레이스)",
344,본도시락모란점,6,일반음식점,"경기 성남시 중원구 제일로 41, 1층 (성남동)",
345,별별치킨,6,일반주점,"경기 성남시 분당구 판교역로 231, 삼평동,에이치스퀘어에스동지하1층B122",
346,방아깐,6,일식전문점,경기 성남시 분당구 운중로267번길 13-5 (판교동),
347,맘스터치분당서현점,6,패스트푸드점,"경기 성남시 분당구 불정로376번길7, 1층 (서현동,건일빌딩) ",
348,더 밸류 펍,6,일반주점,"경기 성남시 분당구 대왕판교로 670, 3층 316호 (삼평동,유스페이스2)",
349,내니스,6,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 2층 202호 (삼평동,판교호반써밋플레이스)",
350,까로치아카페,6,일반음식점,"경기 성남시 분당구 판교역로 240 (삼평동,지하1층121호)",
351,김초생초,6,일식/생선회집,경기 성남시 분당구 궁내동 192-3 1층일부(104호),
352,광명수산 호시로,6,일반음식점,"경기 성남시 분당구 대왕판교로606번길 31, 129,130호 (삼평동)",
353,SUSHIKUN,6,일식/생선회집,"경기 성남시 분당구 정자일로 121-0,에이-1호(장자동, 더샵스타파크) ",
354,(주)엠에프지코리아매드포갈릭,6,서양식전문점,"경기 성남시 분당구 대왕판교로606번길 10(알파리움 타워1동 2층 219호,220호,221호)",
355,홍대칼국수와족발,5,일반음식점,"경기 성남시 분당구 대왕판교로606번길 45, 1층 (삼평동,푸르지오시티)",
356,하버,5,양식,"경기 성남시 분당구 대왕판교로606번길 31, 삼평동,호반메트로큐브120호.121호.122호",
357,판교테크노밸리호텔,5,호텔(특급외),"경기 성남시 분당구 판교역로192번길 12, 8층 (삼평동,판교미래에셋타워)",
