,상호,계,업종,주소,거리
949,브랜든돈까스ＢＲＡＮＤＯＮｎＳＵ,1,양식,경기 성남시 분당구 삼평동678 판교테크노벨리안 삼환하이펙스A동 지하 ,
950,분짜라임 미금점,1,일반음식점,"경기 성남시 분당구 성남대로 151, 1층 120호, 120-1호 (구미동,분당엠코헤리츠)",
951,분당유황오리진흙구이,1,일반한식,경기 성남시 분당구 서현동 69 외1번지2층,
952,분당야탑역점미정국수0410,1,일반음식점,"경기 성남시 분당구 성남대로926번길6, 1층 107호 (야탑동,야탑대덕프 ",
953,분당서서갈비,1,일반음식점,경기 성남시 분당구 판교로610번길 1-6 (야탑동),
954,북해어장왕코다리,1,일반음식점,"경기 성남시 중원구 도촌로7번길 4-12, 1층 (도촌동)",
955,봉추찜닭분당미금역점,1,일반음식점,"경기 성남시 분당구 성남대로 151,분당엠코헤리츠2층206-1호,207호207-1호(구미동)",
956,본춘하추,1,기타식음료품,"경기 성남시 분당구 중앙공원로31번길 42, 105호 (서현동,서현파크플라자)",
957,본죽앤비빔밥제생병원점,1,휴게음식점,"경기 성남시 분당구 서현로180번길 13-0,1층 109호 (서현동,서현프라자 ",
958,본죽앤비빔밥위례창곡점,1,일반음식점,"경기 성남시 수정구 위례동로 147, 1층 105호 (창곡동,위례건아타워)",
959,본죽백현점,1,일반음식점,"경기 성남시 분당구 동판교로 58, 1층 108호 (백현동,나이스프라자)",
960,본도시락미금점,1,일반음식점,"경기 성남시 분당구 성남대로172번길 12 (금곡동,현대아리온오피스텔1층4호.)",
961,본가한우,1,"축산물,정육점","경기 성남시 수정구 산성대로509, 1층 (양지동) ",
962,베스킨라빈스,1,아이스크림전문점,"경기 성남시 분당구 판교로 445, 1층 3,4호 (야탑동)",
963,베르비(b),1,일반주점,"경기 성남시 분당구 성남대로331번길13, 3층 301호 (정자동) ",
964,"버스킹,(busking,)",1,일반주점,"경기 성남시 분당구 발이봉남로3번길 9, 1층 (수내동)",
965,뱅스테리아(Vinsteria),1,서양식전문점,"경기 성남시 분당구 판교로319번길 13, 107호 (삼평동,디테라스)",
966,백년각 (주)백년각,1,중식전문점,"경기 성남시 분당구 성남대로925번길 19, 206호 (야탑동,터미널프라자)",
967,배러댄와플단대오거리점,1,일반음식점,"경기 성남시 중원구 광명로 331, 1층 (금광동)",
968,배가부른족발,1,한식,"경기 성남시 분당구 판교로 436, 지하1층 3,4호 (이매동)",
969,밥이랑커피랑,1,일반음식점 기타,"경기 성남시 분당구 판교역로 145, 지1층 B145(일부)호 (백현동)",
970,반가운수작,1,일반음식점,"경기 성남시 분당구 미금일로86번길 14, 1층 (구미동)",
971,바른스시서판교점,1,일식전문점,"경기 성남시 분당구 운중로233번길14-6, 1층 일부 (판교동) ",
972,바르다김선생판교점,1,일반음식점,"경기 성남시 분당구 대왕판교로606번길58, 1층 1-76호 (삼평동,판교푸 ",
973,바르다김선생미금점,1,일반음식점,"경기 성남시 분당구 돌마로51, 102호 (금곡동,천사의도시2오피스텔) ",
974,바다집,1,한식,"경기 성남시 분당구 야탑로111번길 5-6, 1층 (야탑동)",
975,바다애,1,일반한식,"경기 성남시 분당구 돌마로 68, 2층 203동 1호 (구미동, 분당프라자)",
976,바나나테이블,1,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 2층 210호,211호 (삼평동,판교호반써밋플레이스)",
977,밀크램지,1,일반음식점,"경기 성남시 분당구 판교역로 230, B동 110호 (삼평동,삼환하이펙스)",
978,미향양갈비양꼬치,1,중식전문점,경기 성남시 분당구 장미로100번길15-11 (야탑동) ,
979,미카도스시 서현점,1,일식/생선회집,"경기 성남시 분당구 황새울로359번길 11, 102호 (서현동,미래에셋플레이스)",
980,미친꽈배기,1,일반음식점,"경기 성남시 분당구 대왕판교로660, 1층 146(일부)호 (삼평동,유스페이 ",
981,미엘레디저트,1,일반음식점,"경기 성남시 분당구 불곡로13번길 3-1, 1층 일부 (정자동)",
982,미스터벤또,1,일반음식점,"경기 성남시 분당구 대왕판교로 670, B1층 115호 (삼평동)",
983,미스사이공 구시청점,1,일반음식점,"경기 성남시 수정구 수정로 179, 1층 일부호 (태평동)",
984,미소회초밥,1,일식전문점,"경기 성남시 분당구 발이봉로3번길 12, 1층 (수내동)",
985,미성양꼬치,1,일반음식점,"경기 성남시 분당구 판교역로192번길 22, 제1층, 107호 (삼평동)",
986,미락,1,일반음식점,"경기 성남시 분당구 구미로9번길25, 108호 (구미동,분당대맥주차빌딩) ",
987,미뇽(mignon),1,일반주점,"경기 성남시 분당구 느티로 16, 1층 101호 (정자동,젤존타워1)",
988,미나미이치,1,일식전문점,"경기 성남시 분당구 미금일로74번길 8, 1층 (구미동)",
989,미각짬뽕24시,1,중식전문점,"경기 성남시 분당구 황새울로330번길18, 1층 (서현동,송암빌딩) ",
990,미가미,1,일식전문점,"경기 성남시 분당구 안골로 24, 지하1층 (서현동)",
991,문어상회,1,한식,"경기 성남시 분당구 대왕판교로606번길 31, 131호 (삼평동)",
992,무한갈비만세성남수진점,1,일반음식점,"경기 성남시 중원구 광명로 90, 1층 (성남동,부성아트빌)",
993,무교동서현낙지,1,일반음식점,경기 성남시 분당구 서현로257번길5 (서현동) ,
994,목포산낙지,1,일반음식점,"경기 성남시 분당구 느티로77번길 12, 1층 (정자동)",
995,모박사부대찌게,1,한식,"경기 성남시 분당구 장미로48번길 14, (야탑동)",
996,모로미쿠시판교점,1,일반주점,"경기 성남시 분당구 판교역로192번길 14-2,삼평동,1층111호 ",
997,모란왕족발,1,일반음식점,"경기 성남시 중원구 성남대로1148번길 8, 1층 (성남동)",
998,명품만두,1,일반음식점,"경기 성남시 분당구 돌마로90번길4, 1층 103호 (구미동,엘레강스프라자 ",
999,명인만두야탑점,1,일반음식점,"경기 성남시 분당구 야탑로81번길10, 1층 112호 (야탑동,분당아미고타 ",
1000,명성양꼬치,1,일반음식점,"경기 성남시 분당구 판교역로192번길 22 (삼평동,판교효성해링턴타워1층112호,113호,114호일부)",
1001,명랑시대쌀핫도스 분당미금점,1,일반음식점,"경기 성남시 분당구 돌마로90번길 4, 1동 1층 102호 (구미동,엘레강스프라자)",
1002,명가원설농탕 (성남점),1,일반음식점,"경기 성남시 수정구 시민로 173, 1층 (신흥동)",
1003,명가원,1,일반음식점,"경기 성남시 분당구 황새울로258번길 10-3, 1층 (수내동,대창빌딩)",
1004,면통단,1,일반음식점 기타,"경기 성남시 중원구 성남대로997번길 51-2, 1층 (여수동)",
1005,메즈클라 (mezclar),1,양식,"경기 성남시 분당구 운중로146번길 35-1, 1층 (운중동)",
1006,맥도날드오리역점,1,패스트푸드점,"경기 성남시 분당구 성남대로45, 1층 일부 (구미동) ",
1007,맥도날드 분당효자점,1,패스트푸드점,경기 성남시 분당구 서현동 삼성프라자분당점 305-2 서현프라자빌딩,
1008,매우리,1,일반음식점,"경기 성남시 수정구 수정북로 67, 1층 (태평동)",
1009,망향비빔국수,1,일반음식점 기타,"경기 성남시 분당구 서현로239번길 6, (서현동)",
1010,맛찬들왕소금구이,1,한식,"경기 성남시 분당구 성남대로331번길 3-6,1,2층 (정자동) ",
1011,맑은곰탕 운중,1,일반음식점 기타,"경기 성남시 분당구 하오개로 383, 지 층101호 (운중동)",
1012,만두전골과칼국수미가온,1,일반음식점,경기 성남시 분당구 하오개로358 (운중동) ,
1013,마쯔미,1,일반음식점,"경기 성남시 분당구 장미로48번길 14, 1층 102호 (야탑동,엔즈빌오피스텔)",
1014,마이에마스(mai et m,1,서양식전문점,"경기 성남시 분당구 정자일로 146, 정자역엠코헤리츠1단지 1층 A115호 (정자동)",
1015,마왕족발,1,일반음식점,"경기 성남시 분당구 매화로 50, 1층 107호 (야탑동,송림프라자)",
1016,마산아구랜드,1,한식,경기 성남시 분당구 야탑동 376-8 1층,
1017,마리앤마사,1,일반음식점,"경기 성남시 분당구 정자일로100, (제1층 제104호). (정자동,미켈란쉐 ",
1018,마루돈가,1,일반음식점,"경기 성남시 분당구 황새울로258번길 10-9, 1층 102호,103호,104호 (수내동)",
1019,마루니,1,일반음식점,"경기 성남시 분당구 판교역로192번길 16, 1층 109호 (삼평동,판교타워)",
1020,마노스시,1,일식전문점,"경기 성남시 수정구 위례서일로3길 27-4, 1층 (창곡동)",
1021,리골레토시카고피자분당정자점,1,패스트푸드점,"경기 성남시 분당구 정자일로 220-0,112,113호 (정자동,동양정자파라곤 ",
1022,롯데리아야탑역점,1,패스트푸드점,"경기 성남시 분당구 성남대로925번길 11, 170호 (야탑동,유니마트1층)",
1023,롯데리아분당수내동점,1,패스트푸드점,경기 성남시 분당구 불정로 256 (수내동),
1024,롯데리아 판교DT,1,패스트푸드점,경기 성남시 분당구 백현동 598번지,
1025,롭스정자역점,1,일반잡화판매점,"경기 성남시 분당구 성남대로331번길 11-3,(정자동) ",
1026,롤링파스타 서현역점,1,서양식전문점,"경기 성남시 분당구 분당로53번길 14, 2층 202,203,204호 (서현동,서현프라자)",
1027,러시아알부자,1,일식/생선회집,"경기 성남시 중원구 둔촌대로101번길 28-17,1층 (성남동,중원실업빌딩) ",
1028,램가,1,일반음식점,"경기 성남시 분당구 운중로225번길 48-9, 지하1층 (판교동)",
1029,랄루차(LALUCHA),1,서양식전문점,"경기 성남시 분당구 서현로210번길17, 2층 201호 (서현동,광림플라자) ",
1030,라온,1,서양식전문점,"경기 성남시 분당구 서현로257번길15, 1층 (서현동) ",
1031,라멘모토,1,일식전문점,"경기 성남시 분당구 정자일로220, 상가동 118호 (정자동,동양정자파라 ",
1032,뚝배기동태탕,1,한식,"경기 성남시 분당구 서판교로44번길 3, 101호 (판교동)",
1033,뚜에이오,1,서양식전문점,"경기 성남시 분당구 운중로225번길14-1,1층일부102호(판교동) ",
1034,디안만두전골(주)상원푸드,1,일반음식점,"경기 성남시 수정구 청계산로 617, 1층,2층 (상적동)",
1035,드마노,1,서양식전문점,"경기 성남시 분당구 판교역로 230, 삼환하이펙스B동지하1층B113호 (삼평동)",
1036,두부공방,1,일반음식점,"경기 성남시 분당구 백현로150번길 9-6, 1층 (정자동)",
1037,두끼 미금점,1,휴게음식점,"경기 성남시 분당구 성남대로 151, 210호일부, 210-1호 (구미동)",
1038,돼지평전,1,일반음식점,"경기 성남시 분당구 운중로233번길 14-5, 1층 (판교동)",
1039,동해참가자미새꼬시,1,일반음식점,경기 성남시 분당구 효자길33 (서현동) ,
1040,동해묵호항,1,일반음식점,"경기 성남시 분당구 정자일로 197, 109호 (정자동,정자동2차푸르지오시티)",
1041,동태찌개,1,일반음식점,"경기 성남시 수정구 대왕판교로812, B107호 (시흥동) ",
1042,돈까스클럽분당금곡점,1,서양식전문점,"경기 성남시 분당구 대왕판교로158, 1층 (금곡동,경도빌딩) ",
1043,도토리,1,유흥주점,"경기 성남시 분당구 성남대로343번길 12-6, 지하1층 (정자동,한평회관)",
1044,도심속바다,1,일식/생선회집,"경기 성남시 분당구 장미로92번길 12, 1층 (야탑동)",
1045,도미노피자수진점,1,패스트푸드점,경기 성남시 중원구 산성대로200 (성남동) ,
1046,데일리오아시스분당야탑점,1,일반음식점,"경기 성남시 분당구 야탑로103, 1층 109호 (야탑동,노블리치2 오피스텔 ",
1047,데이빗앤룰스(David&rules),1,서양식전문점,"경기 성남시 분당구 서판교로44번길 17-7, 1층 전부 (판교동)",
1048,던킨도너츠서현1호점,1,패스트푸드점,"경기 성남시 분당구 중앙공원로40번길 4, 1층 121호 (서현동,현대카스올림픽콜프파크)",
1049,더블유카페(wcafe)판교점,1,일반음식점,"경기 성남시 분당구 판교역로 235 (삼평동,에이치스퀘어엔동 117호)",
1050,더뭉티기,1,일반한식,"경기 성남시 분당구 성남대로 295, A동 1층 105호 (정자동, 대림아크로텔)",
1051,더 푸에르코(The Puerc,1,일반음식점,"경기 성남시 분당구 정자일로 140, B108호 (정자동,엠코헤리츠2단지)",
1052,대박반점,1,중식전문점,"경기 성남시 분당구 돌마로366번길 8, 상가 4-5동 지하층 일부 16호 푸른마을 (수내동)",
1053,대가참치앤스시,1,한식,"경기 성남시 중원구 둔촌대로101번길 14, (성남동)",
1054,담소사골순대정자점,1,일반음식점,"경기 성남시 분당구 성남대로331번길 3-13, 1층 105호 (정자동,대명제스트빌딩)",
1055,달떡볶이,1,휴게음식점,"경기 성남시 분당구 대왕판교로606번길 58, 1층 (삼평동,판교푸르지오월드마크)",
1056,단정숯불갈비,1,중식전문점,"경기 성남시 중원구 마지로286,,1~2층(갈현동) ",
1057,다원,1,중식전문점,"경기 성남시 중원구 양현로 459, 1층 (여수동)",
1058,늘봄웰봄분당점,1,한식,"경기 성남시 분당구 정자일로 248-0,201(정자동,파크뷰상가201-203호) ",
1059,농협하나로유통성남농산물,1,농협식품전문점,경기 성남시 분당구 성남대로43번길11 (구미동) ,
1060,놀부부대찌개앤철판구이판교더블유시티점,1,일반한식,"경기 성남시 분당구 판교로255번길 9, 2층 211호 (삼평동)",
1061,노브랜드판교알파돔점,1,기타식음료품,"경기 성남시 분당구 판교역로145, 1층 (백현동,C2-2블럭) ",
1062,노란황태,1,일반음식점,"경기 성남시 분당구 운중로267번길 7-6, 1층 (판교동)",
1063,네네치킨(동판교점),1,치킨전문점,"경기 성남시 분당구 동판교로52번길 17-4, 1층 101호 (백현동)",
1064,남원추어탕 판교점,1,일반음식점,"경기 성남시 분당구 판교로 375, 2층 201호 (삼평동,메가스페이스1)",
1065,남북양꼬치,1,중국식,"경기 성남시 분당구 성남대로331번길 11, 지하1층 (정자동, 여민빌딩)",
1066,남도어부(주)씨앤제이비젼,1,일반음식점,"경기 성남시 분당구 정자일로 162, 103호 104호 (정자동,젤존타워2)",
1067,남도식당,1,일반음식점,"경기 성남시 분당구 불정로77번길 15, 1층 (정자동)",
1068,나주곰탕,1,한식,"경기 성남시 분당구 분당로53번길 12, 2층 215호 (서현동,서현나산플라자)",
1069,나빌리오,1,양식,경기 성남시 분당구 정자동 159-1 백궁프라자 121호,
1070,나무김밥,1,일반음식점,"경기 성남시 분당구 느티로 22, 1층 102호 (정자동,백궁동양파라곤)",
1071,꽁지네김밥,1,휴게음식점,경기 성남시 중원구 성남동 .,
1072,깐부치킨 미금역점,1,치킨전문점,"경기 성남시 분당구 돌마로 47, 118,119호 (금곡동,이코노샤르망)",
1073,깐부,1,일반주점,경기 성남시 분당구 수내동7-5 102호 ,
1074,김작가의 이중생활 야탑역점,1,일반주점,"경기 성남시 분당구 야탑로105번길 12-6, 1층 (야탑동)",
1075,김밥우동천국,1,일반음식점,경기 성남시 분당구 야탑동 341 성남(분당)여객자동차터미널 지1-507호일부,
1076,김밥명가,1,일반음식점,"경기 성남시 분당구 성남대로 168, 104호 (금곡동,미도프라자)",
1077,김밥마니아야탑점,1,일반음식점,"경기 성남시 분당구 성남대로925번길 19, 1층 108호 (야탑동,터미널프라자)",
1078,김명자낙지마당정자점,1,일반음식점,"경기 성남시 분당구 불정로87번길 6, 지하1층,1층 전부 (정자동)",
1079,김돈이,1,일반음식점,"경기 성남시 분당구 판교역로192번길 22, 1층 102호 (삼평동,판교효성해링턴타워)",
1080,김가네육곡간,1,일반음식점,"경기 성남시 분당구 황새울로360번길 22, 304호,305호 (서현동,영건프라자)",
1081,금룡,1,중식,"경기 성남시 분당구 야탑로65번길 8, (야탑동)",
1082,금광풍년쌈밥,1,일반음식점,"경기 성남시 중원구 광명로330-1, 1층 (금광동) ",
1083,궁내동205호프,1,일반주점,"경기 성남시 분당구 대왕판교로 287, 2층 일부 (궁내동,궁내빌딩)",
1084,굽네치킨 야탑2동점,1,치킨전문점,"경기 성남시 분당구 판교로 442, 103호 (이매동,우일프라자빌딩)",
1085,군산오징어삼환점,1,한식,"경기 성남시 분당구 판교역로 240, 2층 206호 (삼평동,삼환하이펙스A동)",
1086,군산오징어 삼환점,1,일반음식점,"경기 성남시 분당구 판교역로 240, A동 206호 (삼평동,삼환하이펙스)",
1087,구좌리얼크니손칼국수,1,일반음식점,"경기 성남시 분당구 쇳골로 25, 1층 (금곡동)",
1088,구구스플레이트(주)푸드크리에이,1,치킨전문점,"경기 성남시 분당구 판교역로 145, 알파리움 타워2동 1층 135호,136호,137호 (백현동)",
1089,교촌치킨,1,치킨전문점,"경기 성남시 수정구 성남대로 1233,1층(태평동)",
1090,교소바,1,일식/생선회집,"경기 성남시 분당구 대왕판교로645번길 36, 1층 (삼평동,엔에스복합건축물)",
1091,교동전선생 분당수내점,1,한식,"경기 성남시 분당구 수내로46번길 20, 1층 103,104호 (수내1동,맛자랑멋자랑)",
1092,광장호프,1,일반주점,"경기 성남시 분당구 장미로86번길13,(야탑동) ",
1093,곱창가 정자점,1,일반음식점 기타,"경기 성남시 분당구 정자일로 190, 1층 일부 (정자동)",
1094,곰포차,1,일식전문점,"경기 성남시 분당구 정자일로192, 109호 (정자동,지.파크프라자) ",
1095,곰바우 양곱창,1,일반음식점,"경기 성남시 분당구 장미로86번길 14, 1층 (야탑동)",
1096,곤트란쉐리에정자점,1,기타음식점,"경기 성남시 분당구 정자일로132,정자역엠코헤리츠4단지D동101호,102호 ",
1097,고암남원추어탕,1,일반음식점,경기 성남시 수정구 산성대로597 (양지동) ,
1098,고산수,1,일반음식점,"경기 성남시 분당구 성남대로925번길 11, 119~123호 (야탑동,유니마트)",
1099,고봉민김밥인성남시청점,1,일반음식점,"경기 성남시 중원구 양현로 411, 1층 102호 (여수동,시티오피스타워)",
1100,고봉민김밥인성남분당판교점,1,일반음식점,"경기 성남시 분당구 대왕판교로606번길58, 1층 1-87호 (삼평동,판교푸 ",
1101,고봉민김밥인,1,일반음식점,"경기 성남시 수정구 위례광장로 27, 1층 114호 (창곡동,으뜸프라자)",
1102,건우리 한우 직판장,1,"축산물,정육점","경기 성남시 중원구 성남대로997번길 51-6, 1층 (여수동)",
1103,개스트로펍로에뒤셀,1,서양식전문점,"경기 성남시 분당구 성남대로151, 분당 엠코 헤리츠 2층 219-1호,220호 ",
1104,개성전통삼계탕,1,일반음식점,"경기 성남시 분당구 백현로 97,수내동다운타운지상1층113호,114호(수내동)",
1105,개성곰탕,1,한식,"경기 성남시 분당구 돌마로 68, 209호 (구미동,분당프라자)",
1106,강릉집(분당집),1,한식,경기 성남시 분당구 야탑동 375-8,
1107,강릉교동짬뽕,1,중식전문점,"경기 성남시 분당구 성남대로144번길 10, 1층 (구미동)",
1108,강남면옥,1,일반음식점,"경기 성남시 분당구 새마을로 5,1층(서현동)",
1109,감탄분당푸른마을점,1,일반음식점,"경기 성남시 분당구 돌마로356번길3, 1층 109호 (수내동,그랜드프라자) ",
1110,갈비정원,1,한식,"경기 성남시 분당구 양현로 246, (야탑동)",
1111,가비명작,1,서양식전문점,"경기 성남시 분당구 구미로 191, 1층 101,101-1호 (구미동,아산웰빙프라자)",
1112,nomnom SUBS,1,휴게음식점,"경기 성남시 분당구 판교역로 231, 1층 117호 (삼평동,에이치스퀘어 에스동)",
1113,MATE(메이트),1,호텔(특급외),경기 성남시 분당구 황새울로335번길 7 (서현동),
1114,LA북창동순두부,1,한식,경기 성남시 분당구 서현동 260-3 멜로즈프라자103,
1115,KOTITI시험연구원,1,전문서비스업,"경기 성남시 중원구 사기막골로 111-0,(상대원1동) ",
1116,KFC서현역,1,패스트푸드점,경기 성남시 분당구 분당로53번길19 (서현동) ,
1117,CJ올리브영(주)판교유스페이스,1,기타종합소매점,"경기 성남시 분당구 대왕판교로 660, 유스페이스1 제2층225호 (삼평동)",
1118,BHC치킨 서판교점,1,치킨전문점,"경기 성남시 분당구 운중로257번길 7-6, 1층 101호 (판교동)",
1119,7프로 칠백식당,1,일반음식점 기타,"경기 성남시 분당구 미금일로74번길 25-7, (구미동)",
1120,59피자,1,패스트푸드점,"경기 성남시 분당구 벌말로41, 101호 (야탑동,성원프라자) ",
1121,３６９부대찌개앤삼겹살,1,한식,"경기 성남시 분당구 삼평동판교역로 230 삼환하이펙스B동204호,205호 ",
1122,(주)평가옥푸드시스템,1,한식,"경기 성남시 분당구 정자동 82-1 지하1층, 지상1층",
1123,(주)청정갯마을,1,일반음식점,"경기 성남시 분당구 성남대로858번길 4, 1층 (야탑동)",
1124,(주)창섭 마트로,1,기타식음료품,"경기 성남시 분당구 동판교로266번길 14, 1층 (삼평동)",
1125,(주)조앤이푸드 청계산지점,1,일반음식점,"경기 성남시 수정구 청계산로 440-4, 1층 (상적동)",
1126,(주)이퀄리브리엄,1,식음료(기타),"경기 성남시 중원구 갈마치로186, 906호 (상대원동,반포테크노피아) ",
1127,(주)이롬,1,기타 전자제품,"경기 성남시 분당구 판교로228번길 15, 2동 7층 (삼평동,판교세븐벤처밸리)",
1128,(주)유썸,1,일반음식점,"경기 성남시 분당구 구미로173번길 82 (구미동,분당서울대학교병원신관지하1층일부)",
1129,(주)에이펙스 분당지점,1,일반주점,"경기 성남시 분당구 장미로86번길 6, 1층 102호 (야탑동)",
1130,(주)아데나가든,1,일반음식점,"경기 성남시 분당구 정자일로 120, B동 101호102호 (정자동,삼성아데나루체아파트)",
1131,(주)신화아이푸드취홍지점,1,중식,경기 성남시 분당구 서현동195-2 4층 ,
1132,(주)스타럭스 교토가츠규 알파돔시티점,1,일식전문점,"경기 성남시 분당구 판교역로 145, 531번지 C2-3블럭 (백현동)",
1133,(주)소와양,1,한식,"경기 성남시 분당구 만세길 20, (율동)",
1134,(주)산지에프앤비ROPE,1,기타식음료품,경기 성남시 수정구 위례서일로3길27 (창곡동) ,
1135,(주)바실리움,1,뷔페.출장연회,"경기 성남시 분당구 양현로 322, 8층 (야탑동,코리아디자인센터)",
1136,(주)미스터피자서판교점,1,패스트푸드점,"경기 성남시 분당구 운중동 941 메트로골드202호,203호일부",
1137,(주)로이즈판교아브뉴프랑점,1,기타식음료품,"경기 성남시 분당구 분당내곡로 150,(삼평동,판교택지개발구C1-1BL)",
1138,(주)려기위례점,1,기타식음료품,"경기 성남시 수정구 위례동로 153, 210호, 211호 (창곡동,에이플타워)",
1139,(주)라뜰리에(에코허브지점),1,일반음식점,"경기 성남시 분당구 판교로332, 1층 에스케이에코-허브센터 (삼평동) ",
1140,(주)디엔푸드,1,일반음식점,"경기 성남시 분당구 정자일로248 (정자동,파크뷰 1층 106호) ",
1141,(주)두마레,1,일반음식점,"경기 성남시 분당구 구미로 191, 201호 (구미동,아산웰빙프라자)",
1142,(주)더블유스퀘어컨벤션,1,예식장,"경기 성남시 분당구 판교역로226번길16,(삼평동) ",
1143,(주)놀멍쉬멍 (반작),1,한식,"경기 성남시 분당구 대왕판교로 660 지하1층 비103호 (삼평동,유스페이스1)",
1144,(주) 메종기욤 아브뉴프랑,1,양식,"경기 성남시 분당구 동판교로177번길 25, 1층 126호 (삼평동,판교호반써밋플레이스)",
1145,(사)세종전통음식연구소카페숨,1,일반음식점,"경기 성남시 분당구 서현로357번길 8 (서현동,1층전부)",
,,,,,
